date,close,open,high,low,volumn
20190531,65300,65900,66900,64700,3191350
20190530,65900,66300,66900,65800,3023108
20190529,66100,65600,66700,64900,6056903
20190528,65900,67200,68300,65900,12052399
20190527,66900,67900,68200,66400,2214176
20190524,67600,67300,68600,67000,3339145
20190523,68000,68400,69100,67300,3108370
20190522,68900,71300,71300,68500,3128787
20190521,70300,70500,72200,69700,3893536
20190520,70900,71800,72800,70700,1970694
20190517,71600,72500,73300,71400,2412668
20190516,71900,74400,75100,71600,3467027
20190515,74500,74800,75100,73900,2056131
20190514,74600,72200,75100,71600,3712697
20190513,73500,73900,75000,72800,3062929
20190510,74400,76100,76700,73400,5702537
20190509,76000,79600,79700,75200,5939278
20190508,80300,78700,80500,78000,2731620
20190507,79900,79200,80400,78700,2700371
20190503,80400,81100,81300,80300,2481811
20190502,80700,79700,81200,79100,3092434
20190430,79000,79400,80700,78100,2960242
20190429,80000,78700,80100,78200,2987384
20190426,78600,78500,79900,77600,5183181
20190425,80200,78400,81500,78100,5586360
20190424,78500,81500,81500,77500,5318487
20190423,81000,81000,81800,80400,1779318
20190422,80500,81500,81800,79900,1887109
20190419,81800,80500,82400,80100,3040186
20190418,79200,80800,81200,78500,3295697
20190417,80200,81000,82300,80000,2886956
20190416,80400,79900,80800,79100,2206997
20190415,79700,79000,79900,78600,2019931
20190412,78100,77400,78800,77400,2317264
20190411,78400,79200,79500,78000,2614388
20190410,78600,76700,78800,76200,2689591
20190409,77800,77700,78700,77400,2322860
20190408,77900,78900,79200,77600,2663493
20190405,79000,78200,79300,77900,2191720
20190404,78400,80400,81400,77800,5436236
20190403,79900,76800,79900,76500,4674142
20190402,76400,77900,78000,76100,2719440
20190401,76600,75600,77100,75500,3579070
20190329,74200,72900,74900,72700,3214170
20190328,72300,72300,73600,71700,2774932
20190327,73400,71800,74100,71200,2744175
20190326,72700,72900,73300,71500,2987678
20190325,72900,73700,74200,72600,3752230
20190322,76100,78900,78900,75900,5286455
20190321,75900,73500,76000,72600,10030131
20190320,70500,68400,70600,67600,3642962
20190319,68000,67300,68000,66600,2285169
20190318,67800,69200,69300,67300,2158588
20190315,68100,67400,68700,66700,3645592
20190314,67300,67400,67400,66400,3107100
20190313,66800,67700,67800,65900,2851596
20190312,67700,67700,68600,67500,2753535
20190311,66600,67000,67800,66200,2869008
20190308,66700,67900,68200,66200,3571792
20190307,68100,67200,68900,67100,3402570
20190306,68100,68500,69600,67400,4958303
20190305,69700,68300,70000,68300,3465521
20190304,70100,70300,71400,69900,4931703
20190228,70000,72500,72600,69900,7869451
20190227,73700,75300,75700,73700,2864044
20190226,75200,75000,75900,74100,2483512
20190225,75400,77300,77600,74800,2865712
20190222,76700,75600,76700,75300,1882653
20190221,76700,75300,77200,74600,2874589
20190220,75700,73700,76000,73600,3134257
20190219,73700,74500,74800,73000,1462071
20190218,74700,74300,75300,74000,1772434
20190215,73800,76800,76900,73800,4154616
20190214,77400,75800,77400,75100,2313376
20190213,76200,77300,77600,76100,2378193
20190212,75900,74100,76400,73900,3526701
20190211,74100,73000,74100,72200,3374192
20190208,73500,75200,75500,73000,4012485
20190207,76700,77500,78200,76600,4249110
20190201,75900,75400,76400,74700,3349965
20190131,73900,76900,77100,73700,4447535
20190130,75900,73500,76300,73000,5304841
20190129,73400,71400,73800,71000,3368642
20190128,71800,74700,74900,71200,4972189
20190125,74600,71600,74800,71100,7163871
20190124,70500,66900,70500,66900,6914092
20190123,66800,65500,67200,64800,2825017
20190122,66600,67900,68000,65700,4047917
20190121,67000,65900,67400,65000,3977425
20190118,64600,65000,65700,63900,2263599
20190117,64900,65500,66200,64600,2830122
20190116,64800,63800,64900,62700,2478497
20190115,64000,62200,64000,62200,2413868
20190114,62100,64300,65100,62000,3282892
20190111,65100,65400,65900,64200,2890639
20190110,65300,64100,65600,64000,6034432
20190109,63600,59600,63800,59400,4928656
20190108,59200,57900,60500,57600,3062192
20190107,58700,59000,59700,58400,2273750
20190104,58300,57500,58500,56700,3388087
20190103,57700,60200,60300,57500,3337621
20190102,60600,61300,61400,60000,1934295
20181228,60500,61700,62300,60500,1647462
20181227,61600,61600,61900,60600,3047798
20181226,60100,59400,60800,59300,2455060
20181224,60400,59600,60700,59200,2101703
20181221,60000,58200,60500,58200,3946994
20181220,58600,59300,59400,58100,4889709
20181219,60300,60800,61000,59700,3561783
20181218,61100,61000,61900,60800,3098206
20181217,62200,61600,62500,61000,2506287
20181214,61800,65200,65300,61200,5617675
20181213,65500,66300,66400,64800,4062323
20181212,66200,65000,66200,64900,2901875
20181211,64900,66000,66600,64800,2457332
20181210,65500,65900,65900,64700,2206084
20181207,66800,66700,67400,66600,2590733
20181206,66000,67800,68200,65700,3902275
20181205,68200,67200,68800,67200,3008950
20181204,69000,69900,70400,68400,3222060
20181203,70500,71000,71100,69800,2760290
20181130,69600,71500,71600,68800,4167055
20181129,71500,73700,73700,71200,3270078
20181128,71900,71000,72000,70700,2441991
20181127,70800,71100,71200,69700,2293763
20181126,70900,69200,71300,69000,2361766
20181123,69300,69500,69700,68400,1499166
